fp	AmpSlo1	AmpNlo1	AmpSNRlo1	AmpSmNlo1	ItcSlo1	ItcNlo1	ItcSNRlo1	ItcSmNlo1	AmpSlo2	AmpNlo2	AmpSNRlo2	AmpSmNlo2	ItcSlo2	ItcNlo2	ItcSNRlo2	ItcSmNlo2	AmpSlo3	AmpNlo3	AmpSNRlo3	AmpSmNlo3	ItcSlo3	ItcNlo3	ItcSNRlo3	ItcSmNlo3	AmpSlo4	AmpNlo4	AmpSNRlo4	AmpSmNlo4	ItcSlo4	ItcNlo4	ItcSNRlo4	ItcSmNlo4	AmpShi1	AmpNhi1	AmpSNRhi1	AmpSmNhi1	ItcShi1	ItcNhi1	ItcSNRhi1	ItcSmNhi1	AmpShi2	AmpNhi2	AmpSNRhi2	AmpSmNhi2	ItcShi2	ItcNhi2	ItcSNRhi2	ItcSmNhi2	AmpShi3	AmpNhi3	AmpSNRhi3	AmpSmNhi3	ItcShi3	ItcNhi3	ItcSNRhi3	ItcSmNhi3	AmpShi4	AmpNhi4	AmpSNRhi4	AmpSmNhi4	ItcShi4	ItcNhi4	ItcSNRhi4	ItcSmNhi4
1	0.012793265455071456	0.013035060959833583	0.9843672866184482	-0.00024179550476212744	0.11789975668229286	0.09427569105053152	1.2540713909022116	0.023624065631761337	0.015532676607596546	0.015602645601597374	1.008340028260855	-6.996899400082794e-05	0.0643767722598865	0.07904361957704131	0.8175014781593457	-0.014666847317154813	0.015232718842794781	0.014783841339219686	1.0063661718497308	0.0004488775035750951	0.030794823057695604	0.08287142000780057	0.37559334650449006	-0.05207659695010496	0.012480990271627548	0.013677899982651622	0.9540941405955419	-0.0011969097110240742	0.18087963061478565	0.09433934890597909	1.9150256025625294	0.08654028170880657	0.014846157129043264	0.014944155647936837	1.0196684461571808	-9.799851889357239e-05	0.059498400928397435	0.06644595907925699	0.9002186682504514	-0.0069475581508595535	0.015341480996494478	0.015561584497526202	0.9796412483980529	-0.00022010350103172406	0.11609660469901903	0.0815412571179788	1.4358394985166598	0.03455534758104023	0.014130987089489599	0.014537336734822633	0.9974122526482292	-0.00040634964533303383	0.13116651587967054	0.07626695576185644	1.7202378819849717	0.054899560117814106	0.013064847147292979	0.013480261299043315	0.9617755933141392	-0.0004154141517503356	0.17221659658238447	0.06556683839846575	2.6582007316027436	0.10664975818391872
2	0.024859636215904493	0.025106644602593656	0.9901790158055503	-0.0002470083866891633	0.2345885301735148	0.06983027219157946	3.360471354518763	0.16475825798193533	0.041734531112172485	0.041912153301136026	0.9958706472769205	-0.00017762218896354154	0.05349548075784197	0.0880383817142151	0.6100226030494862	-0.034542900956373135	0.02122602042847429	0.019694998189212196	1.0470351096377697	0.0015310222392620927	0.04281774692073577	0.07468374149297527	0.5745380127999864	-0.0318659945722395	0.017162845636329794	0.01827681863213959	0.961656733182015	-0.001113972995809797	0.05160273300353877	0.0825869797860608	0.6126760266195783	-0.030984246782522033	0.05832479925027925	0.059289868603432744	0.9872045028915952	-0.0009650693531534915	0.13514201942125664	0.09156261164769453	1.4820777083739105	0.04357940777356212	0.023916576255697115	0.021986822961206305	1.0503215000898425	0.0019297532944908095	0.1748141413495255	0.0591550817045308	2.9618743103405953	0.1156590596449947	0.031126200656402286	0.031097886344953616	1.00292139864392	2.8314311448670443e-05	0.048785772343609854	0.08739609536534555	0.5574302752929281	-0.0386103230217357	0.017653804637552617	0.017885871537966	0.9896081242863213	-0.00023206690041338227	0.19018191363020498	0.07739483429374454	2.46411136923701	0.11278707933646044
3	0.01832323094936088	0.018281585978217163	1.0075286331522573	4.164497114371793e-05	0.10675076969955391	0.08168250645061909	1.3183623477355015	0.025068263248934824	0.015030303175650411	0.01507604290677965	1.0165208298786652	-4.573973112923825e-05	0.06329788067721648	0.08276017824374239	0.7654978643891275	-0.019462297566525913	0.015561567298168395	0.015346616428125077	0.9866816395390154	0.00021495087004331712	0.07268831567158046	0.08348053388743099	0.8736240180042758	-0.010792218215850524	0.014414352695938652	0.013983975053149774	1.0149699886222503	0.00043037764278887856	0.1222897090748213	0.09062163083446526	1.3530265027044504	0.03166807824035604	0.01933208635992002	0.018672667549835445	1.0259193991571802	0.0006594188100845742	0.10757721211953207	0.08533086060791326	1.277481157431553	0.022246351511618814	0.012036549236455679	0.011909707631919302	1.0095412072103431	0.00012684160453637662	0.028607534231939562	0.07105144161978116	0.40695386696332275	-0.0424439073878416	0.020303407873152372	0.019668961840995588	1.015023451042254	0.0006344460321567845	0.05323440152751548	0.07262330485323355	0.7270215032260281	-0.01938890332571807	0.01024041040367283	0.010253120471613253	0.9898428299399937	-1.2710067940423231e-05	0.048834488463157744	0.07619994569098532	0.6319278512730543	-0.027365457227827572
4	0.02792512256516186	0.027300903292482647	1.0143394449100338	0.0006242192726792113	0.15144255889856612	0.0699221273152186	2.1350245006607302	0.08152043158334751	0.016401735385293194	0.016604234347588877	0.9874516992834742	-0.00020249896229568298	0.2324415801890607	0.07337153037003352	3.156191289154244	0.15907004981902717	0.018767784238757114	0.018630640648831773	1.0013866760701806	0.0001371435899253405	0.2118534575678735	0.08548327213589077	2.482782112879698	0.12637018543198272	0.017757819267164913	0.01753736256572638	0.9993060970009398	0.00022045670143853308	0.06918745297864515	0.0824684342773538	0.8393412082323073	-0.013280981298708652	0.020886649448246152	0.021547553141594192	0.9782559242880577	-0.0006609036933480396	0.16696623492494034	0.06459318116736638	2.579304644148905	0.10237305375757395	0.017766025152749082	0.017007471678370332	1.033231683369954	0.0007585534743787502	0.17847467994580796	0.07528824870343259	2.3614847534346195	0.10318643124237536	0.015017190598849789	0.015017728269826905	0.9880260113065831	-5.376709771159893e-07	0.18626468373569166	0.08407345327044147	2.1973641342477315	0.1021912304652502	0.020733358971300606	0.020500338291179445	1.0049770829627396	0.00023302068012116123	0.09981688042776057	0.07001284962059948	1.4341456769477903	0.029804030807161097
5	0.0164534470810798	0.017198664371787884	0.9593993566719559	-0.0007452172907080855	0.23903335530838332	0.07815840205395001	3.085271819846322	0.1608749532544333	0.015211580370667579	0.013857673687583253	1.058811559969432	0.0013539066830843254	0.22673628259589457	0.07910345293626296	2.87012835876617	0.1476328296596316	0.013574800049401354	0.01425698892539209	0.9660279275987134	-0.000682188875990735	0.14213469408368284	0.06874198510505491	2.0686482700595894	0.07339270897862793	0.014495698713146057	0.0146542249766868	0.9899155499232524	-0.00015852626354074216	0.11049191061238856	0.08312817094173372	1.33325007945628	0.027363739670654835	0.016027021932147827	0.01584000857227505	1.0087858437563333	0.00018701335987277717	0.09728959119681788	0.09851949056260703	0.9872745092860435	-0.0012298993657891555	0.014785612078495623	0.014068366580142787	1.0367403073631212	0.0007172454983528365	0.1513377936733134	0.11402870237672721	1.3271867265438417	0.03730909129658619	0.01614898474872261	0.015210035316188805	1.0414982331817435	0.0009389494325338053	0.08369406440774965	0.09378624316822641	0.8848798791959278	-0.010092178760476758	0.015056393346405827	0.01565787459573127	0.969654377347138	-0.0006014812493254414	0.09842569718437551	0.0610467999212225	1.6095040774501437	0.03737889726315301
6	0.016098114947942443	0.01650516121934147	0.9895637958024217	-0.00040704627139902597	0.1801064863875056	0.07717224096547196	2.3458710787455512	0.10293424542203364	0.0148482142747019	0.014509332021639438	1.0173826221323043	0.00033888225306246203	0.19902405511997312	0.07396594128111086	2.6942824242427474	0.12505811383886226	0.015266748843002833	0.015753370816556093	0.9730437060206112	-0.00048662197355326016	0.09826361684496496	0.06992061539539021	1.4043703691246	0.028343001449574745	0.016190493292553534	0.015450906585837823	1.0268725505771321	0.0007395867067157107	0.1264184724712144	0.07813391125515406	1.618443100797274	0.04828456121606034	0.01707285191724547	0.016944999591114163	1.0091086948777628	0.0001278523261313072	0.14649591900903358	0.06941533442009543	2.1125355863748485	0.07708058458893816	0.014633758606939152	0.015175451161167716	0.9871278968209192	-0.000541692554228564	0.23248661918253793	0.06709957876214856	3.466715449775166	0.16538704042038938	0.01631604920609989	0.015886143625676766	1.026962429374632	0.000429905580423124	0.11314728335273062	0.08983151659478869	1.2566061215281823	0.023315766757941933	0.014950799297198312	0.015368827355565037	0.9972231603284967	-0.0004180280583667255	0.02121551176405517	0.08835771080331964	0.2393914910466991	-0.06714219903926447
7	0.049782417656287284	0.0492482618136928	1.1056752598837227	0.0005341558425944817	0.25098482731913335	0.06600223630109692	3.802521259646838	0.18498259101803644	0.03586274469546774	0.03780537356507533	0.875929930883266	-0.0019426288696075891	0.28484340984091594	0.06857933436303701	4.167416168965122	0.21626407547787893	0.030352492510951803	0.031659022940620146	0.9611658360607405	-0.0013065304296683428	0.1476568731393415	0.06215226913836833	2.377724026050098	0.08550460400097318	0.03441555099429235	0.03327742405717655	1.0659634712541615	0.0011381269371158048	0.2047471224699673	0.06823021264781856	2.9908311430000967	0.13651690982214873	0.05017451256328799	0.05031433027408043	1.0287155918892612	-0.0001398177107924392	0.3136013458898822	0.09041056397852584	3.463894855565136	0.22319078191135636	0.04190477391527308	0.040934568613946475	1.056945027906461	0.0009702053013266043	0.12778193765726167	0.08070179695389587	1.6215384763818577	0.0470801407033658	0.03207448211798582	0.03076032944274902	1.0517275137495408	0.001314152675236796	0.18461113087009884	0.09201061238699108	2.0089775965646193	0.09260051848310775	0.03372271739344404	0.03414046010307831	1.0294507649668394	-0.00041774270963426674	0.11740719043838874	0.06784501038810434	1.7307296331865798	0.0495621800502844
8	0.029500752456369145	0.0305030637544215	0.978084335276078	-0.0010023112980523559	0.0714028148906238	0.10298951443389229	0.6941128952089967	-0.03158669954326848	0.020781567113588847	0.02065981982726947	1.0073546304556422	0.00012174728631937637	0.09384409819832767	0.07487710700839356	1.2530157657218202	0.018966991189934113	0.01407743072063738	0.014070323350874908	1.0115759557896418	7.10736976247163e-06	0.13227160669010563	0.07293520481593985	1.856914414687517	0.05933640187416578	0.012793922688115779	0.012545181142553197	1.0045350401057695	0.00024874154556258146	0.07944248396886869	0.07674893297028221	1.0364519172721103	0.0026935509985864803	0.029762698112022846	0.028515247276446908	1.0289123902031898	0.001247450835575939	0.10454105697502529	0.09630047427053322	1.0850999344518097	0.008240582704492072	0.020122719937280594	0.020812934906581235	0.9737697801376971	-0.0006902149693006412	0.11280031158974904	0.076416595408285	1.4770363838956508	0.036383716181464035	0.016528112510719974	0.015789216639796082	1.0286604175671274	0.0007388958709238919	0.021242920101835913	0.0833567264194298	0.2543227047177314	-0.06211380631759389	0.01397014608449023	0.013672597845614053	1.0173263504589418	0.00029754823887617743	0.19916790178927307	0.069126665462832	2.8814741611488355	0.13004123632644107
9	0.02680572774984772	0.026426292644400672	1.016891998186594	0.0003794351054470478	0.10331154720768862	0.07269154176960274	1.4410493496503012	0.03062000543808588	0.024569231377866273	0.024939466349286774	0.9661782475373091	-0.00037023497142050013	0.06344041739466665	0.08592628939950808	0.7407755309127018	-0.022485872004841437	0.03606776952339352	0.035454413179343	1.0089925772623136	0.0006133563440505196	0.06910068600359401	0.08017678000240666	0.8558711333397387	-0.011076093998812653	0.0313262898042251	0.030591362457016606	1.0335936595521698	0.0007349273472084979	0.02167245429499122	0.06770821644206876	0.33930410997090377	-0.04603576214707754	0.029472650549393412	0.028656643638126974	1.0340867207963598	0.0008160069112664384	0.05426513370673239	0.07961411843098183	0.6830998488792643	-0.025348984724249443	0.025066705020287388	0.024951233701381904	0.9996958107531342	0.00011547131890548429	0.16016802865242175	0.06601664960821822	2.482211011417685	0.09415137904420352	0.03283796628870972	0.03443872011343881	1.0081193151644128	-0.001600753824729094	0.16830670174221452	0.08184676900774383	2.0562397301217	0.08645993273447068	0.03305997636137083	0.03334462861314001	1.0269934904692686	-0.0002846522517691852	0.10102613457330796	0.08530255919536059	1.1811900375172097	0.01572357537794737
10	0.026620876259648683	0.026141946296043363	1.0123724170389938	0.00047892996360532	0.12475040017382179	0.06107871162380229	2.0449028530902416	0.0636716885500195	0.027162188808165427	0.027257706564791633	1.0074236395791842	-9.551775662620596e-05	0.10973521015167552	0.08713758998413003	1.2582295317898748	0.02259762016754549	0.03310528488228328	0.03338791133525192	0.9916666605889336	-0.00028262645296864286	0.04851352959329769	0.07979082117482092	0.6045586094416695	-0.03127729158152323	0.018724217250662176	0.01767645198742029	1.0240662933259834	0.0010477652632418857	0.07720966976902699	0.08653307318744027	0.8918452545748498	-0.009323403418413284	0.028199399141089137	0.02748181705856909	1.0133854436995695	0.0007175820825200477	0.16019565784654033	0.08005656540466552	1.9945443408644752	0.08013909244187481	0.023255613966488765	0.022614887273691524	1.017640887627836	0.0006407266927972409	0.21314544412216962	0.07755395553697511	2.771298270997474	0.13559148858519451	0.029185175269735762	0.029149499607947358	1.0271999560823082	3.567566178840423e-05	0.2221986372592718	0.06601429296793129	3.371262874652417	0.1561843442913405	0.03084682805451363	0.029907514381576777	1.028176496686834	0.0009393136729368527	0.14226125736096779	0.08556888081324118	1.6613165277439026	0.0566923765477266
