fp	AmpSlo1	AmpNlo1	AmpSNRlo1	AmpSmNlo1	ItcSlo1	ItcNlo1	ItcSNRlo1	ItcSmNlo1	AmpSlo2	AmpNlo2	AmpSNRlo2	AmpSmNlo2	ItcSlo2	ItcNlo2	ItcSNRlo2	ItcSmNlo2	AmpSlo3	AmpNlo3	AmpSNRlo3	AmpSmNlo3	ItcSlo3	ItcNlo3	ItcSNRlo3	ItcSmNlo3	AmpSlo4	AmpNlo4	AmpSNRlo4	AmpSmNlo4	ItcSlo4	ItcNlo4	ItcSNRlo4	ItcSmNlo4	AmpShi1	AmpNhi1	AmpSNRhi1	AmpSmNhi1	ItcShi1	ItcNhi1	ItcSNRhi1	ItcSmNhi1	AmpShi2	AmpNhi2	AmpSNRhi2	AmpSmNhi2	ItcShi2	ItcNhi2	ItcSNRhi2	ItcSmNhi2	AmpShi3	AmpNhi3	AmpSNRhi3	AmpSmNhi3	ItcShi3	ItcNhi3	ItcSNRhi3	ItcSmNhi3	AmpShi4	AmpNhi4	AmpSNRhi4	AmpSmNhi4	ItcShi4	ItcNhi4	ItcSNRhi4	ItcSmNhi4
1	0.037583221449652315	0.04370799576593749	0.8598719347543391	-0.006124774316285171	0.09158634335839441	0.09405136272856265	0.9769460021318572	-0.002465019370168242	0.07504971434900816	0.04629068222712179	1.6235028830986598	0.028759032121886366	0.12908077918097505	0.08582142888883396	1.5040223713974648	0.04325935029214109	0.01956579880753588	0.04414074738735652	0.44360832080047186	-0.024574948579820642	0.06684432987673916	0.08812802920979797	0.7587152372703152	-0.021283699333058806	0.022902238174442105	0.039429837310759476	0.5790352786546988	-0.01652759913631737	0.06045823536700597	0.08218551810169888	0.7435887108632862	-0.02172728273469291	0.05292997061567447	0.045450944381264055	1.1644065188424664	0.007479026234410414	0.1354329170475078	0.09391065835702551	1.4421619216685886	0.041522258690482275	0.014730686842940337	0.0414997211495758	0.35421932396530653	-0.026769034306635464	0.07275317905528553	0.07151738336184146	1.0176039914689725	0.001235795693444064	0.02729174085203406	0.03256138824212297	0.8409492585299724	-0.005269647390088911	0.01477280912858313	0.07676539271079749	0.19553692793484748	-0.061992583582214364	0.03408740370582261	0.03075743529535797	1.1119013467658077	0.0033299684104646406	0.05967466968346985	0.0786081919643146	0.7593379753656302	-0.018933522280844745
2	0.09007312975326723	0.044771184830149496	2.0200958820793686	0.04530194492311773	0.14359022802595497	0.06656138386792815	2.157292070496064	0.07702884415802683	0.08114429417865057	0.05061766565767862	1.6029891597012225	0.030526628520971953	0.06931391432494695	0.07762861664648571	0.8898625535398347	-0.008314702321538761	0.06846755133936436	0.055536313239414825	1.232689836972282	0.012931238099949532	0.10849223760631464	0.08084403008462177	1.3395315207178964	0.027648207521692877	0.06832266453273567	0.05450691964380086	1.2547052156421632	0.013815744888934806	0.09907337845676177	0.09371858470476749	1.0615700415339726	0.005354793751994283	0.1553967962866311	0.093623752925297	1.6598862255807094	0.061773043361334115	0.1441102868508808	0.10153759743155483	1.4199487307550651	0.04257268941932596	0.0548527935584191	0.056315795253390484	0.9738983825292225	-0.0014630016949713845	0.11983719131411441	0.0759250411169612	1.5757969028517331	0.04391215019715321	0.0530634725352251	0.07892404768179305	0.6722493167413521	-0.02586057514656795	0.10663767616068806	0.0813627515442853	1.3066570931796777	0.025274924616402766	0.13040684376637546	0.07434677459189357	1.7540011625493679	0.05606006917448189	0.1314325667043571	0.11245518933114104	1.1682774970356498	0.01897737737321606
3	0.03605717689727729	0.021805018528125948	1.6548192372733899	0.014252158369151342	0.07670111877579497	0.08016084839039221	0.953973321938457	-0.003459729614597243	0.029127454344710042	0.02235503152028435	1.3057037516709693	0.006772422824425691	0.058711888910901164	0.08079015288416624	0.717829007099561	-0.02207826397326508	0.02060069345623587	0.017665600571379576	1.1655577446356016	0.0029350928848562927	0.07995098484609685	0.07466214117794903	1.0714497481905823	0.005288843668147816	0.011290545117417467	0.023837406368753887	0.4747800277168458	-0.01254686125133642	0.02810642285143522	0.10055185053964975	0.27810233073801394	-0.07244542768821453	0.0246759280279562	0.03565392813580273	0.6927009099199042	-0.010978000107846532	0.0689214490028682	0.08583276587644997	0.8133516073028708	-0.016911316873581772	0.017567672994891446	0.02140799533311774	0.8215709476986147	-0.0038403223382262944	0.05172587722328808	0.07646642221670347	0.7363979581515707	-0.024740544993415388	0.03655567161593083	0.01861592859915491	1.9880913363731016	0.017939743016775922	0.1281731644510733	0.08893342201880503	1.4453030803534368	0.03923974243226827	0.009782614061983512	0.02682646380300157	0.36856150349694616	-0.01704384974101806	0.04590656947738712	0.09821941411238758	0.47976324238492174	-0.05231284463500046
4	0.012920984108416002	0.04195791533338975	0.3080066197763432	-0.02903693122497375	0.06856223096251163	0.08419094212299456	0.8187291538783465	-0.015628711160482936	0.016265654777514175	0.03913630158838462	0.4161927390441993	-0.02287064681087044	0.05878617570166539	0.07125648832211662	0.8327373270732312	-0.01247031262045123	0.023894695903236632	0.033653343953696555	0.710029422856999	-0.009758648050459923	0.08384616943426121	0.08048415275214865	1.0422899527176346	0.0033620166821125563	0.020360389742154	0.031218042673362235	0.6542351907690671	-0.010857652931208234	0.05346941096282722	0.07472336855662946	0.7158286528715623	-0.02125395759380224	0.06604191250506543	0.040319245497081	1.6362786191689853	0.02572266700798443	0.11884070808053859	0.0742040993117059	1.611186757939069	0.044636608768832686	0.14042257363398908	0.04974038768706301	2.8244950119418952	0.09068218594692606	0.298997728441847	0.09186932914957358	3.2550817246753905	0.20712839929227345	0.027992681073814567	0.03580538233416861	0.7820540042414392	-0.007812701260354046	0.0329622882663481	0.08366430838777535	0.38510904741526447	-0.050702020121427244	0.06298965934859718	0.04150678640995023	1.5251431975016096	0.021482872938646952	0.12678978022369847	0.08519492814849738	1.4934806624788919	0.04159485207520108
5	0.05189601069637474	0.036869045825930535	1.407612848209677	0.015026964870444207	0.11173574056972208	0.06570894560070431	1.7001473690420998	0.046026794969017765	0.015389092169741918	0.04051119257519534	0.3790778952953868	-0.02512210040545342	0.03255624697554706	0.0964978328477806	0.324096262785562	-0.06394158587223354	0.11077091123521218	0.04269014987031514	2.59513342283246	0.06808076136489705	0.17128941757531152	0.0812357672473022	2.1138573029274577	0.09005365032800931	0.01729757834023812	0.03216109008118343	0.5382107559232048	-0.014863511740945311	0.025123606163551564	0.06218477183997985	0.4083602356825258	-0.03706116567642828	0.012745631496735368	0.03770864131893041	0.34100356591420566	-0.024963009822195042	0.06911816660731294	0.0824199711409784	0.8446397975152966	-0.01330180453366546	0.055857719355545954	0.029862250194613218	1.8715464243225608	0.025995469160932736	0.13552273955670527	0.06197992376957456	2.206599153503084	0.0735428157871307	0.025411655397022167	0.039045400122573966	0.6486258472745986	-0.013633744725551799	0.0703292934566872	0.08134628007416131	0.8597741037540865	-0.011016986617474106	0.04438506200937763	0.0466269519384327	0.9519916617902081	-0.002241889929055073	0.06734981870444004	0.08032008318448106	0.8357594374086208	-0.012970264480041016
6	0.03138272901870314	0.03799665128688269	0.8260907934786266	-0.006613922268179549	0.08580128199357787	0.07684952407475694	1.1165161049849264	0.008951757918820927	0.030888515713539042	0.044899889885262105	0.6880878225528827	-0.014011374171723063	0.028958814385138244	0.10385089972135263	0.2790134805315352	-0.07489208533621439	0.021678899181747927	0.04020202798784879	0.5396183607948452	-0.018523128806100863	0.04585414381889782	0.09821140629046923	0.4670033254847013	-0.052357262471571415	0.05408306012789375	0.04010874704532538	1.3481066683087457	0.013974313082568371	0.12535254419737252	0.08798238819749037	1.4240659110746974	0.03737015599988215	0.051434148152742484	0.04161011647216442	1.2361802068270564	0.009824031680578063	0.09864641725561618	0.0768062068721917	1.2804290464093424	0.021840210383424485	0.01381246186441104	0.03739693042567664	0.36931744679095946	-0.0235844685612656	0.010647950210931277	0.0650560383723161	0.16489276779109457	-0.05440808816138483	0.04611488037852322	0.04781325798516633	0.9646875363125296	-0.0016983776066431117	0.10165729932083162	0.08906863610920515	1.1406943637576221	0.012588663211626466	0.08498286356274598	0.037311248598775326	2.2793777743431116	0.047671614963970654	0.12178423305564717	0.08061889390140861	1.512809857321992	0.04116533915423856
7	0.04793982431516263	0.040836957663309886	1.1879624531086652	0.007102866651852745	0.10474649738882535	0.06928661886676676	1.5414794709467365	0.03545987852205859	0.04231108512171981	0.038615260570333376	1.0955934596766097	0.003695824551386437	0.10080148504318681	0.07208937658478416	1.4050605499861832	0.02871210845840265	0.061058070372788806	0.0344281370992115	1.770727299770675	0.026629933273577308	0.1458333001704077	0.08581599738998821	1.697409249630179	0.060017302780419474	0.03243411574072269	0.03416920182948047	0.9422931035768107	-0.0017350860887577757	0.12299007071581768	0.08654594062359017	1.434760521832246	0.03644413009222751	0.061404556249565395	0.04598373474885041	1.3334501937561622	0.015420821500714985	0.11377283249187375	0.07364328478734886	1.5446287674032142	0.0401295477045249	0.004212875116131294	0.04443290764723621	0.09462781574993553	-0.04022003253110491	0.019599827460433476	0.08345558062578047	0.2323127574526318	-0.063855753165347	0.023567734238826205	0.03968303320898803	0.5960783035884304	-0.016115298970161823	0.07498572769556278	0.08712968569010243	0.8633960331218881	-0.012143957994539656	0.021909801966618778	0.037737785514728256	0.5783744707586127	-0.01582798354810948	0.04694798753666857	0.07401677949138541	0.6359241616681078	-0.027068791954716842
8	0.07547083031036364	0.03827004596865599	1.9720099932518544	0.03720078434170765	0.16522661880484457	0.09321705020803595	1.7708991115259642	0.07200956859680863	0.027125312057635277	0.039508312019820344	0.6884353602916615	-0.012382999962185066	0.11071487009166586	0.07688518008203693	1.4398888608839195	0.03382969000962893	0.0241377273061973	0.03549908861068746	0.6793788532722955	-0.011361361304490156	0.06245514884530211	0.07394731457623102	0.8449848167627683	-0.011492165730928913	0.03535132903090597	0.02459529827434844	1.4388587498142766	0.010756030756557532	0.11399136963542103	0.07568966470823396	1.5180493460988034	0.03830170492718707	0.04922146327804853	0.05126227072462368	0.9595985450515498	-0.0020408074465751505	0.0648114075908421	0.09819629530001597	0.6609191723518748	-0.033384887709173874	0.021749047507343633	0.03584161683401148	0.6069530886445353	-0.014092569326667845	0.05621162563970353	0.06689567866015009	0.8336837585776163	-0.01068405302044656	0.02156504376845973	0.040075369054382935	0.5374778110002888	-0.018510325285923206	0.093162925710577	0.08833591753622427	1.0542438365473465	0.0048270081743527204	0.044491429858414054	0.03609870660095421	1.2323451379506623	0.008392723257459843	0.16844072398838936	0.07125451978679327	2.365985862939573	0.09718620420159609
9	0.02916855488909382	0.041058984774714424	0.7105146246659652	-0.011890429885620606	0.09803234248275555	0.10208360792413457	0.9591809198530916	-0.004051265441379015	0.04050705194320297	0.026024547702817917	1.5561156706683137	0.014482504240385052	0.13230139837017107	0.08527426168116692	1.5519852816316009	0.047027136689004156	0.022131932899339665	0.03083377410237314	0.7100685573257842	-0.008701841203033474	0.034239791524501115	0.07447696479796498	0.4628555818259179	-0.040237173273463864	0.0676855837591056	0.038437723304718036	1.7602233433596604	0.02924786045438757	0.13503320831068735	0.07823644319983229	1.7259154648232578	0.05679676511085506	0.0551419927478996	0.04441485498466114	1.2416551223953631	0.010727137763238456	0.09391243536596029	0.0965427003125638	0.9733307948295133	-0.002630264946603511	0.028638742893851446	0.0307843068246014	0.9286573665908062	-0.0021455639307499524	0.05923963745743974	0.08890467776757782	0.6628724437060198	-0.029665040310138086	0.0325864988556278	0.027480501647885833	1.1882419074568917	0.0051059972077419705	0.10549712040498199	0.05496750877531825	1.9195867696067013	0.05052961162966374	0.07172744780863552	0.031515892180568134	2.2799815960728376	0.040211555628067386	0.15185284471441157	0.08454677938901853	1.8007438053519362	0.06730606532539304
10	0.0323210877429491	0.02663796926018635	1.2152930226843792	0.005683118482762754	0.06938215584919322	0.0871042225238079	0.794664968538477	-0.017722066674614678	0.0378186551197337	0.019603289093392262	1.9298183394116077	0.01821536602634144	0.10371960631257617	0.07288842011750932	1.4186661199155615	0.030831186195066848	0.030862748073077317	0.03116822662427851	0.9898226196700719	-0.0003054785512011937	0.08340314266474413	0.09772516121161023	0.8502681855145418	-0.0143220185468661	0.0278822876384305	0.02077144691341609	1.3425310411547946	0.00711084072501441	0.09832351436504266	0.07365083908777223	1.336980364740787	0.024672675277270434	0.044024004034427855	0.028942921636325298	1.5203575335094568	0.015081082398102557	0.13504903470910926	0.06175313258389167	2.187479217888322	0.07329590212521758	0.04490889457197146	0.028040760528002057	1.6020652031508045	0.016868134043969404	0.05582393923728396	0.08060493369814355	0.7051137793654609	-0.024780994460859587	0.016252869341348126	0.028369390541393903	0.5732825469473204	-0.012116521200045777	0.03356087945270418	0.08232194620075328	0.4075132105772792	-0.0487610667480491	0.013455182793302732	0.026690049832128505	0.50394444758975	-0.013234867038825773	0.08078435868474813	0.0780330537487461	1.035885032802851	0.002751304936002036
11	0.01151679572525175	0.03797279607671844	0.3058885354010338	-0.02645600035146669	0.0329122732228623	0.0688431285350613	0.49306198675032653	-0.03593085531219901	0.056959157817779854	0.043695116652689964	1.3058126509778458	0.01326404116508989	0.12167459953106108	0.09711320021629358	1.258052815571686	0.0245613993147675	0.036706218448883485	0.025903592620719333	1.4235622111794997	0.010802625828164152	0.08272495815036043	0.06227759228632963	1.3242374919174578	0.0204473658640308	0.019678694459430324	0.033403569419271854	0.5891656999768263	-0.01372487495984153	0.040981886892063064	0.07188869206467652	0.5534605750378878	-0.030906805172613454	0.056021208493889724	0.06914756026068627	0.8119334143372231	-0.013126351766796551	0.04856596992303818	0.09398138330212068	0.5168985648595822	-0.045415413379082496	0.023517353589823452	0.06585175938490848	0.35776506522692586	-0.042334405795085024	0.06963857825329878	0.08419666277721766	0.8217998220545267	-0.01455808452391888	0.007895599559169412	0.030567435132445676	0.26059051329469285	-0.022671835573276265	0.05536719460989938	0.07409346214675488	0.7442355683289672	-0.018726267536855502	0.043185778735878616	0.018887601351651587	2.2897554740096617	0.02429817738422703	0.13780526882319094	0.058591629901387575	2.3589824144986054	0.07921363892180336
